0,8939330
2923336.712864480320358748,9380504
4723481.687234093950951887552528725,9601091
5380044.195452836451655379679696778,9821678
7369359.870280655784546494,10042265
7369359.870280655784546494,10042267
5692324.845029586097661419726181474,10239033
1092147.300649426272383797,10435799
798671.741798767447351121,10632565
445510.630074127171776879,10829331
445510.630074127171776879,10829331
447262.317980324890362594,10835799
447943.847359302737713627,10842267
443603.9736154758992728168737546303,10848735
431333.4922958578846383156876834741,10855203
438428.4494824067690461079361249632,10861671
438428.4494824067690461079361249632,10861674
410381.776463124705285651,11240261
588200.587132495940542963,11618848
598231.3509011497988843859453055744,11997435
750249.5245325094743604580647997575,12376022
1857827.267980896319530293,12476022
1014283.711817394126311968326531289,12576022
928366.293252235736613133,12658888