block,numOfEth,numOfDai
10042267,0,0
10239033,21560.179350517420147776,5232119.992114523332665173524214763
10435799,20673.929626686775020638,4940926.698088229946324199344765205
10632565,27524.238272197835098988,10784973.82155677047473941784773672
10829331,97965.37970734412880582200000000001,35149294.3651813028641752664222599
10829331,97965.37970734412880582200000000001,35149294.3651813028641752664222599
10835799,272896.344247095019658694,98228236.34336750379104571761778064
10842267,168148.982567160196637656,61051191.63617602702568810172489166
10848735,92768.191458882844135802,34842433.08268325634694984258507216
10855203,157654.130295671000973878,56169388.31517832950910212595063025
10861671,139653.178517823507185462,52306992.97910457610631525281492497
10861674,139650.42110830941243118,52306248.83650918962047334541423612
11240261,838444.7880892256947829459999999999,383850031.5563006162875200699660328
11618848,169661.409947677138963616,201509694.7245430639280267031153237
11997435,85817.799516622653408834,146931479.4668490146573053467095054
12376022,52507.76402373681957107,179763240.4190634728401374420081585
12476022,45875.22807127699389797,124796519.7538911009371964610909824
12576022,32945.624022676087344132,86522780.1390894547323603418313761
12658888,34871.59436024890507578,78202781.39995051321436062253673789